idx,label,id,type,source
471105,"Schacht, Lucas, 1634-1689. Oratio funebris in obitum Francisci Deleboe.",tshrv38s,Agent,contributor
257422,"Merlan, Philip, 1897-1968.",k6kcj9s2,Person,contributor
269504,"Edmond, Rod.",kkvrkscd,Person,contributor
494847,"Burnell, S. Jocelyn",umrfvq9c,Person,subject
205856,"Mould, Richard F. (Richard Francis). More of Mould's medical anecdotes.",hbn3vcbj,Person,contributor
70612,"Vinogradov, N. A.",chaaum6j,Person,contributor
308830,"Rost, George Alexander.",mzngu5s5,Person,contributor
555311,"Brown, Andrew",wsr8nc5e,Person,contributor
81622,"Shubin, Neil.",cwcqh8xh,Person,contributor
516574,"Sanders, Robert B., 1938-",vdygsmz8,Person,contributor
236461,"Engelland, Michael Christopher, 1695-1734.",jeaebtkf,Person,subject
13580,Turkkātās.,agp2djff,Person,contributor
547450,"Velius, Theodor, 1572-1630.",wgzwz2p4,Person,subject
636950,"Magliar, Giuseppe, active 18th century.",zpbgkrf6,Person,contributor
228776,"McCutcheon, Russell T., 1961-",j5yxhged,Person,contributor
11742,"Carrick, Don",aeptfxvk,Person,contributor
635202,"Woods, Rosalie.",zmb44xek,Person,contributor
234928,"Lander, Jennifer",jctt87dq,Person,contributor
490164,"DeBakey, Lois.",ufjfbzjn,Person,contributor
288934,"Browne, Patrick",mah9bv7z,Person,contributor
318272,"Macclesfield, George Parker, Earl of, (former owner), approximately 1697-1764.",nby837p7,Person,contributor
355781,"Hincks, Edward, 1792-1866",ppc7p88a,Person,contributor
385800,"Malthus, T. R. (Thomas Robert), 1766-1834.",qr88x36x,Person,subject
470395,"Jeffreys, Julius.",trsuva49,Person,contributor
262027,John,kbg2bnfm,Person,contributor
358772,"Boilly, Louis, 1761-1845 Criticism and interpretation.",pspkpxyd,Person,subject
31390,"Graciet, Elisabeth, 1964-",b5cx9yjr,Person,contributor
48950,"Webb, Cliff.",brrxd66h,Person,contributor
348947,"Jones, J. L.",pezcrevu,Person,contributor
218010,"Caldera de Heredia, Gaspar, 1591- Tribunalis medici illustrationes et observaciones practicae.",hrzgmdgd,Person,contributor
612192,"Berco, Cristian",ystfhp8h,Person,contributor
387069,"Miller, Cat",qsjxntsx,Person,contributor
174535,"Lambard, Thomas",g7nyhpu9,Person,contributor
157956,"Matthews, William",fmc55qgy,Person,contributor
398145,"Gibb, Ronald.",r6x3zz2p,Person,contributor
238727,"Davis, Eric, 1946-",jgrrj24d,Person,contributor
85977,"Cohen, Emmeline W.",d34x6mr4,Person,contributor
188743,"Granjel, Luis S.",gqftu9nr,Person,subject
581758,"Detti, Tommaso.",xqt9yb2e,Person,contributor
582999,"Blair, R.",xs8772m9,Person,contributor
257316,"Turpin, Philip.",k6fqjbzh,Person,contributor
429280,"Chantemesse, André, 1851-1919.",sa8zaanf,Person,contributor
299305,"Bedingfield, James, -1860.",mnyr79rv,Person,contributor
318079,"Buyse, Marc E.",nbrxrb93,Person,contributor
380166,"Turrall, Graham",qj3d92e3,Person,contributor
273402,"Noppeney, Gertrud, 1940-",kr95ee7f,Person,contributor
99068,"Leymann, H. (Hermann), 1857-",dhg9skd2,Person,contributor
193255,"Garner, Lesley",gvddxpgx,Person,contributor
537894,"Sliunin, Vladimir Georgievich.",w6fcnegw,Person,contributor
60845,"Foster, William, -1719.",c6qde2ud,Person,contributor
450955,"Alderson, Brian.",t3b5jps8,Person,contributor
597695,"Krähwinkel, Esther.",ya837xbq,Person,contributor
53777,"MacShane, Frank.",bwzv9sca,Person,contributor
517712,"Frommann, Johann Christian, 1640-",vf9henb8,Person,contributor
615554,"Vollmann, Jochen",ywk7w5ds,Person,contributor
452498,"Greenwood, David, 1935-",t4yvpnx6,Person,contributor
619744,"Emeagwali, Gloria T.",z3a6mwre,Person,contributor
38636,"Campbell, William S. (William Stewart), 1907-1966.",bdgubm7m,Person,contributor
469187,"Honigfeld, Gilbert.",tqhj7cvc,Person,contributor
533936,"Smith, Redmond J. H. (Redmond John Hamilton)",w27dtpum,Person,contributor
319560,"De La Chapelle, Clarence E. (Clarence Ewald), 1897-",ndf6c9r4,Person,contributor
584723,"Webster, Noah",xu4hwzra,Person,contributor
123151,"Bourgeois, X. (Xavier), 1828-1872.",ecqwsuxd,Person,contributor
530582,"Clark, Chip.",vwhqzby5,Person,contributor
160178,"Frinking, Erik.",fptuz5bk,Person,contributor
276721,"Metzger, Johann Ludwig Friedrich.",kuya6zku,Person,contributor
167446,"MacIver, Susanna. Cookery and pastry.",fxt2z596,Agent,contributor
555879,"Heyfelder, J. F. (Johann Ferdinand Martin), 1798-1869.",wtb7kkzj,Person,contributor
440726,"Anderson, W",spy9rp2u,Person,contributor
14544,"Tang, Suzanne.",ahrfzk3w,Person,contributor
509286,"Scot, Michael, approximately 1175-approximately 1234.",v5v2jbfd,Person,subject
92007,"Hessler, Franz, 1799-1890.",d9rq6swc,Person,contributor
426049,"Cox, William Sands, 1802-1875",s6m9ruys,Person,contributor
417444,"Risugdasbius, Samuel, pseud.",rv7uatrn,Person,contributor
61545,"Ustick, Stephen Clegg, 1773-1837",c7fckkvt,Person,contributor
428748,"Dobree, Samuel.",s9n6687f,Person,contributor
395207,"Jones, G. R. N. (G. Robert N.)",r3mqhys5,Person,subject
430356,"Dumoulin, J., active approximately 1634.",sbf7a9bb,Person,contributor
339707,"Adler, Heinrich.",p4q5x2nn,Person,contributor
29332,"Beck, Andreas, 1948-",b368bb5y,Person,contributor
193305,"Vājapeyī, Rājendra.",gvezkum9,Person,contributor
489773,"McCann, Nessan.",uf55seyj,Person,subject
586723,"Jardine, William, 1800-1874.",xwbfbhtj,Agent,contributor
51661,"Willett, James Hayward, 1875-1948.",burb8vua,Person,subject
368931,"Sepharial, 1864-1929.",q5rzkjvq,Person,contributor
390257,"Kowalczyk, Katarzyna (illustrator)",qw2tcst4,Person,contributor
476116,"Fogel, Bernard J.",ty45kjh7,Person,contributor
